cas	visina
18.02.2023 00:00	203.7
18.02.2023 00:10	199.3
18.02.2023 00:20	197.0
18.02.2023 00:30	196.9
18.02.2023 00:40	194.0
18.02.2023 00:50	191.1
18.02.2023 01:00	189.7
18.02.2023 01:10	189.7
18.02.2023 01:20	185.2
18.02.2023 01:30	183.4
18.02.2023 01:40	182.7
18.02.2023 01:50	182.7
18.02.2023 02:00	178.7
18.02.2023 02:10	178.5
18.02.2023 02:20	178.7
18.02.2023 02:30	178.2
18.02.2023 02:40	177.0
18.02.2023 02:50	178.0
18.02.2023 03:00	180.5
18.02.2023 03:10	181.4
18.02.2023 03:20	181.5
18.02.2023 03:30	184.4
18.02.2023 03:40	187.1
18.02.2023 03:50	187.8
18.02.2023 04:00	190.7
18.02.2023 04:10	193.2
18.02.2023 04:20	195.6
18.02.2023 04:30	197.8
18.02.2023 04:40	201.0
18.02.2023 04:50	204.5
18.02.2023 05:00	207.1
18.02.2023 05:10	208.1
18.02.2023 05:20	211.7
18.02.2023 05:30	213.0
18.02.2023 05:40	215.4
18.02.2023 05:50	218.1
18.02.2023 06:00	220.1
18.02.2023 06:10	221.5
18.02.2023 06:20	222.8
18.02.2023 06:30	223.8
18.02.2023 06:40	226.3
18.02.2023 06:50	228.1
18.02.2023 07:00	229.9
18.02.2023 07:10	231.0
18.02.2023 07:20	231.2
18.02.2023 07:30	232.6
18.02.2023 07:40	233.4
18.02.2023 07:50	233.1
18.02.2023 08:00	233.1
18.02.2023 08:10	233.7
18.02.2023 08:20	233.0
18.02.2023 08:30	230.6
18.02.2023 08:40	230.2
18.02.2023 08:50	229.3
18.02.2023 09:00	226.4
18.02.2023 09:10	224.3
18.02.2023 09:20	221.6
18.02.2023 09:30	219.3
18.02.2023 09:40	215.7
18.02.2023 09:50	212.3
18.02.2023 10:00	209.0
18.02.2023 10:10	207.1
18.02.2023 10:20	203.1
18.02.2023 10:30	199.7
18.02.2023 10:40	196.0
18.02.2023 10:50	191.7
18.02.2023 11:00	189.6
18.02.2023 11:10	186.0
18.02.2023 11:20	181.2
18.02.2023 11:30	178.6
18.02.2023 11:40	174.1
18.02.2023 11:50	169.3
18.02.2023 12:00	167.1
18.02.2023 12:10	163.8
18.02.2023 12:20	160.0
18.02.2023 12:30	157.9
18.02.2023 12:40	154.6
18.02.2023 12:50	150.1
18.02.2023 13:00	146.9
18.02.2023 13:10	143.8
18.02.2023 13:20	142.5
18.02.2023 13:30	139.9
18.02.2023 13:40	136.2
18.02.2023 13:50	132.8
18.02.2023 14:00	132.2
18.02.2023 14:10	130.8
18.02.2023 14:20	127.7
18.02.2023 14:30	128.9
18.02.2023 14:40	128.9
18.02.2023 14:50	129.2
18.02.2023 15:00	129.6
18.02.2023 15:10	129.5
18.02.2023 15:20	133.7
18.02.2023 15:30	137.5
18.02.2023 15:40	137.5
18.02.2023 15:50	139.6
18.02.2023 16:00	144.4
18.02.2023 16:10	147.3
18.02.2023 16:20	148.8
18.02.2023 16:30	152.2
18.02.2023 16:40	155.4
18.02.2023 16:50	159.2
18.02.2023 17:00	162.2
18.02.2023 17:10	165.0
